Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,0.4999999999999503,-0.5,18.75,21.25
18.95,0.4999999999999503,-0.5,21.25,23.75
19.15,0.4999999999999504,-0.5,23.75,26.25
19.35,0.4999999999999503,-0.5,26.25,28.75
19.55,0.4999999999999504,-0.5,28.75,31.25
19.75,0.4999999999999503,-0.5,31.25,33.75
19.95,0.4999999999999504,-0.5,33.75,36.25
20.15,0.4999999999999504,-0.5,36.25,38.75
20.35,0.4999999999999503,-0.5,38.75,41.25
20.55,0.4999999999999503,-0.5,41.25,43.75
20.75,0.4999999999999503,-0.5,43.75,46.25
20.95,0.4999999999999503,-0.5,46.25,48.75
21.15,0.4999999999999381,-0.5,48.75,51.25
21.35,0.4999999999999504,-0.5,51.25,53.75
21.55,0.4999999999999503,-0.5,53.75,56.25
21.75,0.4999999999999504,-0.5,56.25,58.75
21.95,0.4999999999999503,-0.5,58.75,61.25
22.15,0.4999999999999503,-0.5,61.25,63.75
22.35,0.4999999999999503,-0.5,63.75,66.25
22.55,0.4999999999999503,-0.5,66.25,68.75
22.75,0.4999999999999504,-0.5,68.75,71.25
22.95,0.4999999999999504,-0.5,71.25,73.75
23.15,0.4999999999999503,-0.5,71.25,73.75
23.35,0.4999999999999503,-0.5,71.25,73.75
23.55,0.636180081872677,-0.5,71.25,73.75
23.75,0.4999999999999504,-0.5,71.25,73.75
23.95,0.4999999999999503,-0.5,71.25,73.75
24.15,0.4999999999999503,-0.5,71.25,73.75
24.35,0.4999999999999503,-0.5,71.25,73.75
24.55,0.4999999999999503,-0.5,71.25,73.75
24.75,0.4999999999999504,-0.5,71.25,73.75
24.95,0.4999999999999503,-0.5,71.25,73.75
25.15,0.4999999999999504,-0.5,71.25,73.75
25.35,0.4999999999999503,-0.5,71.25,73.75
25.55,0.4999999999999503,-0.5,71.25,73.75
25.75,0.4999999999999503,-0.5,71.25,73.75
25.95,0.4999999999999503,-0.5,71.25,73.75
