Depth [L],In_Flow [L^3 T^-1],Out_Flow [L^3 T^-1],Upper depth bound [L],Lower depth bound [L]
18.75,1,-1,0,0
21.25,1,-1,0,0
23.75,1,-1,0,0
26.25,1,-1,0,0
28.75,1,-1,0,0
31.25,1,-1,0,0
33.75,1,-1,0,0
36.25,1,-1,0,0
38.75,1,-1,0,0
41.25,1,-1,0,0
43.75,1,-1,0,0
46.25,1,-1,0,0
48.75,1,-1,0,0
51.25,1,-1,0,0
53.75,1,-1,0,0
56.25,1,-1,0,0
58.75,1,-1,0,0
61.25,1,-1,0,0
63.75,1,-1,0,0
66.25,1,-1,0,0
68.75,1,-1,0,0
71.25,1,-1,0,0
